	Accession_DB	Localisation	start	end	Nuccore	Close_prophage	Cluster	Type	sys_id	Position	replicon	Assembly	New_clade	Type_defensive	Sys_close	Nb_sys_close	Close_type	Close_sys_id	In_plasmid	Close_conservon	LanC	Dehydra_N_Thiopep	Dehydra	Thiopep_Methyl	Methyl	Thiopep	Transporter
3106	GCF_029867985.1_NZ_JARWSC010000224.1_00089	16462:17848	16462	17848	NZ_JARWSC010000224.1	0	GCF_029868435.1_NZ_JARWOA010000100.1_06292	lanthipeptide-class-i	GCF_029867985.1_NZ_JARWSC010000224.1.region001_lanthipeptide-class-i_6463_30959	89	GCF_029867985.1_NZ_JARWSC010000224.1	GCF_029867985.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	1	1	0	0	0	0	4
3107	GCF_029868435.1_NZ_JARWOA010000100.1_06292	11251:12637	11251	12637	NZ_JARWOA010000100.1	0	GCF_029868435.1_NZ_JARWOA010000100.1_06292	lanthipeptide-class-i	GCF_029868435.1_NZ_JARWOA010000100.1.region001_lanthipeptide-class-i_1252_25748	6292	GCF_029868435.1_NZ_JARWOA010000100.1	GCF_029868435.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	1	1	0	0	0	0	4
3108	GCF_029868505.1_NZ_JARWOD010000776.1_04209	889:2149	889	2149	NZ_JARWOD010000776.1	0	GCF_002209125.2_NZ_CP022088.2_02877	lanthipeptide-class-i	GCF_029868505.1_NZ_JARWOD010000776.1.region001_lanthipeptide-class-i_1_9855	4209	GCF_029868505.1_NZ_JARWOD010000776.1	GCF_029868505.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	2	0	1	0	0	0	1
3110	GCF_029868505.1_NZ_JARWOD010000776.1_04210	2163:3477	2163	3477	NZ_JARWOD010000776.1	0	GCF_002209125.2_NZ_CP022088.2_02878	lanthipeptide-class-i	GCF_029868505.1_NZ_JARWOD010000776.1.region001_lanthipeptide-class-i_1_9855	4210	GCF_029868505.1_NZ_JARWOD010000776.1	GCF_029868505.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	2	0	1	0	0	0	1
3112	GCF_029868505.1_NZ_JARWOD010000835.1_03426	3279:4656	3279	4656	NZ_JARWOD010000835.1	0	GCF_002209125.2_NZ_CP022088.2_04676	lanthipeptide-class-i	GCF_029868505.1_NZ_JARWOD010000835.1.region001_lanthipeptide-class-i_1_7948	3426	GCF_029868505.1_NZ_JARWOD010000835.1	GCF_029868505.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	1	1	0	0	0	0	2
3113	GCF_029868525.1_NZ_JARWOE010000746.1_01891	90613:91873	90613	91873	NZ_JARWOE010000746.1	0	GCF_002209125.2_NZ_CP022088.2_02877	lanthipeptide-class-i	GCF_029868525.1_NZ_JARWOE010000746.1.region001_lanthipeptide-class-i_57405_101082	1891	GCF_029868525.1_NZ_JARWOE010000746.1	GCF_029868525.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	2	1	0	0	0	0	6
3115	GCF_029868525.1_NZ_JARWOE010000746.1_01892	91887:93201	91887	93201	NZ_JARWOE010000746.1	0	GCF_002209125.2_NZ_CP022088.2_02878	lanthipeptide-class-i	GCF_029868525.1_NZ_JARWOE010000746.1.region001_lanthipeptide-class-i_57405_101082	1892	GCF_029868525.1_NZ_JARWOE010000746.1	GCF_029868525.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	2	1	0	0	0	0	6
3117	GCF_029868545.1_NZ_JARWOF010000631.1_05907	5279:6593	5279	6593	NZ_JARWOF010000631.1	0	GCF_002209125.2_NZ_CP022088.2_02878	lanthipeptide-class-i	GCF_029868545.1_NZ_JARWOF010000631.1.region001_lanthipeptide-class-i_1_22140	5907	GCF_029868545.1_NZ_JARWOF010000631.1	GCF_029868545.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	2	1	0	0	0	0	1
3119	GCF_029868545.1_NZ_JARWOF010000631.1_05908	6607:7867	6607	7867	NZ_JARWOF010000631.1	0	GCF_002209125.2_NZ_CP022088.2_02877	lanthipeptide-class-i	GCF_029868545.1_NZ_JARWOF010000631.1.region001_lanthipeptide-class-i_1_22140	5908	GCF_029868545.1_NZ_JARWOF010000631.1	GCF_029868545.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	2	1	0	0	0	0	1
3121	GCF_029868565.1_NZ_JARWOH010000012.1_08146	3301:4678	3301	4678	NZ_JARWOH010000012.1	0	GCF_002209125.2_NZ_CP022088.2_04676	lanthipeptide-class-i	GCF_029868565.1_NZ_JARWOH010000012.1.region001_lanthipeptide-class-i_1_11430	8146	GCF_029868565.1_NZ_JARWOH010000012.1	GCF_029868565.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	1	1	0	0	0	0	3
3122	GCF_029868565.1_NZ_JARWOH010000562.1_02270	7795:9109	7795	9109	NZ_JARWOH010000562.1	0	GCF_002209125.2_NZ_CP022088.2_02878	lanthipeptide-class-i	GCF_029868565.1_NZ_JARWOH010000562.1.region001_lanthipeptide-class-i_1_11437	2270	GCF_029868565.1_NZ_JARWOH010000562.1	GCF_029868565.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	2	0	1	0	0	0	2
3124	GCF_029868565.1_NZ_JARWOH010000562.1_02271	9123:10383	9123	10383	NZ_JARWOH010000562.1	0	GCF_002209125.2_NZ_CP022088.2_02877	lanthipeptide-class-i	GCF_029868565.1_NZ_JARWOH010000562.1.region001_lanthipeptide-class-i_1_11437	2271	GCF_029868565.1_NZ_JARWOH010000562.1	GCF_029868565.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	2	0	1	0	0	0	2
3126	GCF_029868585.1_NZ_JARWOG010000225.1_04955	3219:4455	3219	4455	NZ_JARWOG010000225.1	0	GCF_002209125.2_NZ_CP022088.2_02877	lanthipeptide-class-i	GCF_029868585.1_NZ_JARWOG010000225.1.region001_lanthipeptide-class-i_1_15808	4955	GCF_029868585.1_NZ_JARWOG010000225.1	GCF_029868585.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	2	1	0	0	0	0	2
3128	GCF_029868585.1_NZ_JARWOG010000225.1_04956	4493:5807	4493	5807	NZ_JARWOG010000225.1	0	GCF_002209125.2_NZ_CP022088.2_02878	lanthipeptide-class-i	GCF_029868585.1_NZ_JARWOG010000225.1.region001_lanthipeptide-class-i_1_15808	4956	GCF_029868585.1_NZ_JARWOG010000225.1	GCF_029868585.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	2	1	0	0	0	0	2
3130	GCF_029869025.1_NZ_JARWPD010000454.1_04073	16076:17390	16076	17390	NZ_JARWPD010000454.1	0	GCF_002209125.2_NZ_CP022088.2_02878	lanthipeptide-class-i	GCF_029869025.1_NZ_JARWPD010000454.1.region001_lanthipeptide-class-i_6077_21894	4073	GCF_029869025.1_NZ_JARWPD010000454.1	GCF_029869025.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	2	1	0	0	0	0	2
3132	GCF_029869025.1_NZ_JARWPD010000454.1_04074	17428:18664	17428	18664	NZ_JARWPD010000454.1	0	GCF_002209125.2_NZ_CP022088.2_02877	lanthipeptide-class-i	GCF_029869025.1_NZ_JARWPD010000454.1.region001_lanthipeptide-class-i_6077_21894	4074	GCF_029869025.1_NZ_JARWPD010000454.1	GCF_029869025.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	2	1	0	0	0	0	2
3134	GCF_029869045.1_NZ_JARWPC010000226.1_02479	37516:38902	37516	38902	NZ_JARWPC010000226.1	0	GCF_029868435.1_NZ_JARWOA010000100.1_06292	lanthipeptide-class-i	GCF_029869045.1_NZ_JARWPC010000226.1.region001_lanthipeptide-class-i_24407_48903	2479	GCF_029869045.1_NZ_JARWPC010000226.1	GCF_029869045.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	1	1	0	0	0	0	4
3135	GCF_029869565.1_NZ_JARWQF010000740.1_02495	3236:4496	3236	4496	NZ_JARWQF010000740.1	0	GCF_002209125.2_NZ_CP022088.2_02877	lanthipeptide-class-i	GCF_029869565.1_NZ_JARWQF010000740.1.region001_lanthipeptide-class-i_1_13664	2495	GCF_029869565.1_NZ_JARWQF010000740.1	GCF_029869565.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	2	1	0	0	0	0	2
3137	GCF_029869565.1_NZ_JARWQF010000740.1_02496	4510:5824	4510	5824	NZ_JARWQF010000740.1	0	GCF_002209125.2_NZ_CP022088.2_02878	lanthipeptide-class-i	GCF_029869565.1_NZ_JARWQF010000740.1.region001_lanthipeptide-class-i_1_13664	2496	GCF_029869565.1_NZ_JARWQF010000740.1	GCF_029869565.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	2	1	0	0	0	0	2
3139	GCF_029869625.1_NZ_JARWQG010000590.1_01777	3229:4489	3229	4489	NZ_JARWQG010000590.1	0	GCF_002209125.2_NZ_CP022088.2_02877	lanthipeptide-class-i	GCF_029869625.1_NZ_JARWQG010000590.1.region001_lanthipeptide-class-i_1_4610	1777	GCF_029869625.1_NZ_JARWQG010000590.1	GCF_029869625.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	1	1	0	0	0	0	0
3140	GCF_029869645.1_NZ_JARWQI010000027.1_08227	6758:8135	6758	8135	NZ_JARWQI010000027.1	0	GCF_002209125.2_NZ_CP022088.2_04676	lanthipeptide-class-i	GCF_029869645.1_NZ_JARWQI010000027.1.region001_lanthipeptide-class-i_1_11355	8227	GCF_029869645.1_NZ_JARWQI010000027.1	GCF_029869645.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	1	1	0	0	0	0	3
3141	GCF_029869645.1_NZ_JARWQI010000467.1_03260	16200:17514	16200	17514	NZ_JARWQI010000467.1	0	GCF_002209125.2_NZ_CP022088.2_02878	lanthipeptide-class-i	GCF_029869645.1_NZ_JARWQI010000467.1.region001_lanthipeptide-class-i_6201_21993	3260	GCF_029869645.1_NZ_JARWQI010000467.1	GCF_029869645.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	2	1	0	0	0	0	2
3143	GCF_029869645.1_NZ_JARWQI010000467.1_03261	17528:18788	17528	18788	NZ_JARWQI010000467.1	0	GCF_002209125.2_NZ_CP022088.2_02877	lanthipeptide-class-i	GCF_029869645.1_NZ_JARWQI010000467.1.region001_lanthipeptide-class-i_6201_21993	3261	GCF_029869645.1_NZ_JARWQI010000467.1	GCF_029869645.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	2	1	0	0	0	0	2
3145	GCF_029869745.1_NZ_JARWQR010000090.1_03019	16380:17766	16380	17766	NZ_JARWQR010000090.1	0	GCF_029868435.1_NZ_JARWOA010000100.1_06292	lanthipeptide-class-i	GCF_029869745.1_NZ_JARWQR010000090.1.region001_lanthipeptide-class-i_6381_30877	3019	GCF_029869745.1_NZ_JARWQR010000090.1	GCF_029869745.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	1	1	0	0	0	0	4
3146	GCF_029892095.1_NZ_JARZAE010000003.1_00099	11165:12395	11165	12395	NZ_JARZAE010000003.1	0	GCF_029892095.1_NZ_JARZAE010000003.1_00099	lanthipeptide-class-i	GCF_029892095.1_NZ_JARZAE010000003.1.region001_lanthipeptide-class-i_1166_25178	99	GCF_029892095.1_NZ_JARZAE010000003.1	GCF_029892095.1	Non Defensive	lanthipeptide-class-i	0.0				1	0.0	1	1	0	0	1	0	0
3147	GCF_029892095.1_NZ_JARZAE010000004.1_02323	2565737:2567009	2565737	2567009	NZ_JARZAE010000004.1	0	GCF_029892095.1_NZ_JARZAE010000004.1_02323	lanthipeptide-class-i	GCF_029892095.1_NZ_JARZAE010000004.1.region014_lanthipeptide-class-i_2554079_2578773	2323	GCF_029892095.1_NZ_JARZAE010000004.1	GCF_029892095.1	Clade 10	Lanthiphage	0.0				0	0.0	1	1	0	1	0	0	1
3148	GCF_029892095.1_NZ_JARZAE010000004.1_03520	3914103:3915342	3914103	3915342	NZ_JARZAE010000004.1	0	GCF_029892095.1_NZ_JARZAE010000004.1_03520	lanthipeptide-class-i	GCF_029892095.1_NZ_JARZAE010000004.1.region021_lanthipeptide-class-i_3901913_3924722	3520	GCF_029892095.1_NZ_JARZAE010000004.1	GCF_029892095.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	1	1	0	0	3	0	1
3149	GCF_029892095.1_NZ_JARZAE010000004.1_06767	7751646:7752990	7751646	7752990	NZ_JARZAE010000004.1	0	GCF_029892095.1_NZ_JARZAE010000004.1_06767	lanthipeptide-class-i	GCF_029892095.1_NZ_JARZAE010000004.1.region035_lanthipeptide-class-i_7741647_7766095	6767	GCF_029892095.1_NZ_JARZAE010000004.1	GCF_029892095.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	1	1	0	0	0	0	1
3150	GCF_029892145.1_NZ_JARZAH010000005.1_06488	220019:221198	220019	221198	NZ_JARZAH010000005.1	0	GCF_029892145.1_NZ_JARZAH010000005.1_06488	lanthipeptide-class-i	GCF_029892145.1_NZ_JARZAH010000005.1.region003_lanthipeptide-class-i_206473_231199	6488	GCF_029892145.1_NZ_JARZAH010000005.1	GCF_029892145.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	1	1	0	0	0	0	1
3151	GCF_029892155.1_NZ_JARZAG010000025.1_02432	5802:7245	5802	7245	NZ_JARZAG010000025.1	0	GCF_029892155.1_NZ_JARZAG010000025.1_02432	lanthipeptide-class-i	GCF_029892155.1_NZ_JARZAG010000025.1.region001_lanthipeptide-class-i_1_17246	2432	GCF_029892155.1_NZ_JARZAG010000025.1	GCF_029892155.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	1	1	0	0	0	0	2
3152	GCF_029892565.1_NZ_JARXVH010000002.1_00730	475407:476682	475407	476682	NZ_JARXVH010000002.1	1	GCF_029892565.1_NZ_JARXVH010000002.1_00730	lanthipeptide-class-i	GCF_029892565.1_NZ_JARXVH010000002.1.region002_lanthipeptide-class-i_462340_488789	730	GCF_029892565.1_NZ_JARXVH010000002.1	GCF_029892565.1	Clade 10	Lanthiphage	0.0				0	0.0	1	1	0	1	0	0	0
3153	GCF_029892565.1_NZ_JARXVH010000023.1_01824	66035:67268	66035	67268	NZ_JARXVH010000023.1	0	GCF_000720405.1_NZ_JOAE01000019.1_02276	lanthipeptide-class-i	GCF_029892565.1_NZ_JARXVH010000023.1.region001_lanthipeptide-class-i_52983_81210	1824	GCF_029892565.1_NZ_JARXVH010000023.1	GCF_029892565.1	Clade 1	Lanthiphage	0.0				1	1.0	1	1	0	1	1	1	0
3154	GCF_029892685.1_NZ_JARXVD010000014.1_02048	16555:17917	16555	17917	NZ_JARXVD010000014.1	0	GCF_029892685.1_NZ_JARXVD010000014.1_02048	lanthipeptide-class-i	GCF_029892685.1_NZ_JARXVD010000014.1.region001_lanthipeptide-class-i_6556_31061	2048	GCF_029892685.1_NZ_JARXVD010000014.1	GCF_029892685.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	1	1	0	0	0	0	0
3155	GCF_029893585.1_NZ_JARXYX010000050.1_06452	3422:4691	3422	4691	NZ_JARXYX010000050.1	0	GCF_013010335.1_NZ_JABERR010000003.1_03349	lanthipeptide-class-i	GCF_029893585.1_NZ_JARXYX010000050.1.region001_lanthipeptide-class-i_1_17643	6452	GCF_029893585.1_NZ_JARXYX010000050.1	GCF_029893585.1	Clade 10	Lanthiphage	0.0				0	0.0	1	1	0	1	0	0	0
3156	GCF_029893625.1_NZ_JARXYI010000001.1_05807	6370758:6372033	6370758	6372033	NZ_JARXYI010000001.1	1	GCF_016921115.1_NZ_JAFFZS010000007.1_06301	lanthipeptide-class-i	GCF_029893625.1_NZ_JARXYI010000001.1.region021_lanthipeptide-class-i_6357691_6384130	5807	GCF_029893625.1_NZ_JARXYI010000001.1	GCF_029893625.1	Clade 10	Lanthiphage	0.0				0	0.0	1	1	0	1	0	0	0
3157	GCF_029894125.1_NZ_JARXYZ010000025.1_02747	22492:23752	22492	23752	NZ_JARXYZ010000025.1	0	GCF_019192735.1_NZ_JAHTKP010000018.1_01821	lanthipeptide-class-i	GCF_029894125.1_NZ_JARXYZ010000025.1.region001_lanthipeptide-class-i_9632_35856	2747	GCF_029894125.1_NZ_JARXYZ010000025.1	GCF_029894125.1	Clade 10	Lanthiphage	0.0				0	0.0	1	1	0	1	0	0	1
3158	GCF_029894235.1_NZ_JARXYC010000021.1_04583	24178:25465	24178	25465	NZ_JARXYC010000021.1	0	GCF_001652995.1_NZ_BBVA01000002.1_02041	lanthipeptide-class-i	GCF_029894235.1_NZ_JARXYC010000021.1.region001_lanthipeptide-class-i_11075_37536	4583	GCF_029894235.1_NZ_JARXYC010000021.1	GCF_029894235.1	Clade 10	Lanthiphage	1.0	1.0	CAS_Class1-Subtype-I-C	GCF_029894235.1_CAS_Class1-Subtype-I-C_6	1	0.0	1	1	0	1	0	0	0
3159	GCF_029894235.1_NZ_JARXYC010000022.1_02916	75947:77018	75947	77018	NZ_JARXYC010000022.1	0	GCF_003176715.1_NZ_QGSW01000063.1_02899	lanthipeptide-class-i	GCF_029894235.1_NZ_JARXYC010000022.1.region001_lanthipeptide-class-i_65154_89751	2916	GCF_029894235.1_NZ_JARXYC010000022.1	GCF_029894235.1	Clade 4	Lanthiphage	0.0				0	0.0	1	1	0	0	1	1	0
3160	GCF_029894335.1_NZ_JARXZC010000036.1_01367	58721:60008	58721	60008	NZ_JARXZC010000036.1	0	GCF_029894335.1_NZ_JARXZC010000036.1_01367	lanthipeptide-class-i	GCF_029894335.1_NZ_JARXZC010000036.1.region001_lanthipeptide-class-i_46650_73047	1367	GCF_029894335.1_NZ_JARXZC010000036.1	GCF_029894335.1	Clade 10	Lanthiphage	0.0				0	0.0	1	1	0	1	0	0	1
3161	GCF_029948125.1_NZ_JASAMB010000004.1_00219	84489:85713	84489	85713	NZ_JASAMB010000004.1	0	GCF_003721415.1_NZ_RIBT01000014.1_02063	lanthipeptide-class-i	GCF_029948125.1_NZ_JASAMB010000004.1.region001_lanthipeptide-class-i_71515_96540	219	GCF_029948125.1_NZ_JASAMB010000004.1	GCF_029948125.1	Clade 5	Lanthiphage	1.0	1.0	CAS_Class1-Subtype-I-E	GCF_029948125.1_CAS_Class1-Subtype-I-E_6	0	0.0	1	1	0	0	1	1	0
3162	GCF_029958285.1_NZ_JASBOE010000012.1_06352	103008:104418	103008	104418	NZ_JASBOE010000012.1	0	GCF_003671685.1_NZ_RAIG01000561.1_02237	lanthipeptide-class-i	GCF_029958285.1_NZ_JASBOE010000012.1.region002_lanthipeptide-class-i_93009_117607	6352	GCF_029958285.1_NZ_JASBOE010000012.1	GCF_029958285.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	1	1	0	0	0	0	1
3163	GCF_029958285.1_NZ_JASBOE010000018.1_04036	104696:105869	104696	105869	NZ_JASBOE010000018.1	1	GCF_022392825.1_NZ_JAFETE010000014.1_05061	lanthipeptide-class-i	GCF_029958285.1_NZ_JASBOE010000018.1.region001_lanthipeptide-class-i_94697_118815	4036	GCF_029958285.1_NZ_JASBOE010000018.1	GCF_029958285.1	Clade 7	Lanthiphage	0.0				0	0.0	1	1	0	0	1	0	0
3164	GCF_029967545.1_NZ_JASCXS010000026.1_06102	233913:235332	233913	235332	NZ_JASCXS010000026.1	0	GCF_003671685.1_NZ_RAIG01000561.1_02237	lanthipeptide-class-i	GCF_029967545.1_NZ_JASCXS010000026.1.region003_lanthipeptide-class-i_220738_245333	6102	GCF_029967545.1_NZ_JASCXS010000026.1	GCF_029967545.1	Non Defensive	lanthipeptide-class-i	0.0				1	0.0	1	1	0	0	0	0	0
3165	GCF_029967595.1_NZ_JASCXU010000006.1_04343	194506:195925	194506	195925	NZ_JASCXU010000006.1	0	GCF_003671685.1_NZ_RAIG01000561.1_02237	lanthipeptide-class-i	GCF_029967595.1_NZ_JASCXU010000006.1.region002_lanthipeptide-class-i_184507_209101	4343	GCF_029967595.1_NZ_JASCXU010000006.1	GCF_029967595.1	Non Defensive	lanthipeptide-class-i	0.0				1	0.0	1	0	0	0	0	0	0
3166	GCF_029967605.1_NZ_JASCXT010000043.1_06453	56205:57624	56205	57624	NZ_JASCXT010000043.1	0	GCF_003671685.1_NZ_RAIG01000561.1_02237	lanthipeptide-class-i	GCF_029967605.1_NZ_JASCXT010000043.1.region002_lanthipeptide-class-i_46206_70801	6453	GCF_029967605.1_NZ_JASCXT010000043.1	GCF_029967605.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	1	0	0	0	0	0	0
3167	GCF_029968015.1_NZ_JASCIS010000029.1_01588	93020:94265	93020	94265	NZ_JASCIS010000029.1	0	GCF_029968015.1_NZ_JASCIS010000029.1_01588	lanthipeptide-class-i	GCF_029968015.1_NZ_JASCIS010000029.1.region002_lanthipeptide-class-i_80121_96205	1588	GCF_029968015.1_NZ_JASCIS010000029.1	GCF_029968015.1	Clade 5	Lanthiphage	0.0				0	1.0	1	1	0	0	1	1	0
3168	GCF_029968035.1_NZ_JASCIQ010000078.1_02015	4978:6124	4978	6124	NZ_JASCIQ010000078.1	0	GCF_009908195.1_NZ_JAAAHS010000266.1_05604	lanthipeptide-class-i	GCF_029968035.1_NZ_JASCIQ010000078.1.region001_lanthipeptide-class-i_1_12102	2015	GCF_029968035.1_NZ_JASCIQ010000078.1	GCF_029968035.1	Clade 7	Lanthiphage	0.0				0	0.0	1	1	0	0	1	0	0
3169	GCF_029968095.1_NZ_JASCIR010000019.1_02127	28327:29845	28327	29845	NZ_JASCIR010000019.1	0	GCF_029968095.1_NZ_JASCIR010000019.1_02127	lanthipeptide-class-i	GCF_029968095.1_NZ_JASCIR010000019.1.region001_lanthipeptide-class-i_15092_39846	2127	GCF_029968095.1_NZ_JASCIR010000019.1	GCF_029968095.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	1	1	0	0	0	0	4
3170	GCF_029983035.1_NZ_JAQHUF010000021.1_00972	10479:11685	10479	11685	NZ_JAQHUF010000021.1	0	GCF_000020425.1_NC_011593.1_00508	lanthipeptide-class-i	GCF_029983035.1_NZ_JAQHUF010000021.1.region001_lanthipeptide-class-i_480_24474	972	GCF_029983035.1_NZ_JAQHUF010000021.1	GCF_029983035.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	1	1	1	0	0	0	2
3171	GCF_029983055.1_NZ_JAQLRW010000020.1_00875	5346:6552	5346	6552	NZ_JAQLRW010000020.1	0	GCF_000020425.1_NC_011593.1_00508	lanthipeptide-class-i	GCF_029983055.1_NZ_JAQLRW010000020.1.region001_lanthipeptide-class-i_1_16553	875	GCF_029983055.1_NZ_JAQLRW010000020.1	GCF_029983055.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	1	1	1	0	0	0	2
3172	GCF_030010455.1_NZ_JASCSI010000021.1_04963	83022:84327	83022	84327	NZ_JASCSI010000021.1	0	GCF_003947235.1_NZ_QHKI01000031.1_07331	lanthipeptide-class-i	GCF_030010455.1_NZ_JASCSI010000021.1.region002_lanthipeptide-class-i_73023_97345	4963	GCF_030010455.1_NZ_JASCSI010000021.1	GCF_030010455.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	1	1	0	0	0	0	1
3173	GCF_030010595.1_NZ_JASCXL010000024.1_01092	16212:17757	16212	17757	NZ_JASCXL010000024.1	0	GCF_030010595.1_NZ_JASCXL010000024.1_01092	lanthipeptide-class-i	GCF_030010595.1_NZ_JASCXL010000024.1.region001_lanthipeptide-class-i_3211_27758	1092	GCF_030010595.1_NZ_JASCXL010000024.1	GCF_030010595.1	Clade 7	Lanthiphage	0.0				1	0.0	1	1	0	0	0	0	0
3174	GCF_030010605.1_NZ_JASCXO010000037.1_02602	26314:27775	26314	27775	NZ_JASCXO010000037.1	0	GCF_030010605.1_NZ_JASCXO010000037.1_02602	lanthipeptide-class-i	GCF_030010605.1_NZ_JASCXO010000037.1.region001_lanthipeptide-class-i_12966_37776	2602	GCF_030010605.1_NZ_JASCXO010000037.1	GCF_030010605.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	1	1	0	0	0	0	1
3175	GCF_030010625.1_NZ_JASCXN010000043.1_06844	34402:35671	34402	35671	NZ_JASCXN010000043.1	0	GCF_001865245.1_NZ_MKXB01000036.1_01414	lanthipeptide-class-i	GCF_030010625.1_NZ_JASCXN010000043.1.region001_lanthipeptide-class-i_21467_47765	6844	GCF_030010625.1_NZ_JASCXN010000043.1	GCF_030010625.1	Clade 10	Lanthiphage	0.0				0	0.0	1	1	0	1	0	0	2
3176	GCF_030010655.1_NZ_JASCXK010000048.1_04296	3638:4865	3638	4865	NZ_JASCXK010000048.1	0	GCF_000720405.1_NZ_JOAE01000019.1_02276	lanthipeptide-class-i	GCF_030010655.1_NZ_JASCXK010000048.1.region001_lanthipeptide-class-i_1_17925	4296	GCF_030010655.1_NZ_JASCXK010000048.1	GCF_030010655.1	Clade 1	Lanthiphage	0.0				0	0.0	1	1	0	0	1	1	0
3177	GCF_030010675.1_NZ_JASCXQ010000107.1_02379	3635:4862	3635	4862	NZ_JASCXQ010000107.1	0	GCF_000720405.1_NZ_JOAE01000019.1_02276	lanthipeptide-class-i	GCF_030010675.1_NZ_JASCXQ010000107.1.region001_lanthipeptide-class-i_1_17922	2379	GCF_030010675.1_NZ_JASCXQ010000107.1	GCF_030010675.1	Clade 1	Lanthiphage	0.0				0	0.0	1	1	0	0	1	1	0
3178	GCF_030011775.1_NZ_JASCYL010000004.1_00709	245502:246945	245502	246945	NZ_JASCYL010000004.1	0	GCF_000720885.1_NZ_JODZ01000016.1_03459	lanthipeptide-class-i	GCF_030011775.1_NZ_JASCYL010000004.1.region002_lanthipeptide-class-i_232300_256946	709	GCF_030011775.1_NZ_JASCYL010000004.1	GCF_030011775.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	1	1	0	0	0	0	2
3179	GCF_030028635.1_NZ_CP124863.1_01459	1771356:1772673	1771356	1772673	NZ_CP124863.1	0	GCF_030028635.1_NZ_CP124863.1_01459	lanthipeptide-class-i	GCF_030028635.1_NZ_CP124863.1.region008_lanthipeptide-class-i_1758239_1782674	1459	GCF_030028635.1_NZ_CP124863.1	GCF_030028635.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	1	1	0	0	0	0	12
3180	GCF_030063135.1_NZ_JASISO010000007.1_05759	144722:145952	144722	145952	NZ_JASISO010000007.1	0	GCF_000720405.1_NZ_JOAE01000019.1_02276	lanthipeptide-class-i	GCF_030063135.1_NZ_JASISO010000007.1.region001_lanthipeptide-class-i_131706_156918	5759	GCF_030063135.1_NZ_JASISO010000007.1	GCF_030063135.1	Clade 1	Lanthiphage	0.0				0	0.0	1	1	0	0	1	1	0
3181	GCF_030063325.1_NZ_JASISX010000088.1_03877	10424:11687	10424	11687	NZ_JASISX010000088.1	0	GCF_027158205.1_NZ_JAPVLU010000036.1_07390	lanthipeptide-class-i	GCF_030063325.1_NZ_JASISX010000088.1.region001_lanthipeptide-class-i_1_16550	3877	GCF_030063325.1_NZ_JASISX010000088.1	GCF_030063325.1	Clade 6	Lanthiphage	0.0				1	0.0	1	1	0	1	0	0	0
3182	GCF_030063355.1_NZ_JASISZ010000119.1_06350	9004:10267	9004	10267	NZ_JASISZ010000119.1	0	GCF_027158205.1_NZ_JAPVLU010000036.1_07390	lanthipeptide-class-i	GCF_030063355.1_NZ_JASISZ010000119.1.region001_lanthipeptide-class-i_1_15130	6350	GCF_030063355.1_NZ_JASISZ010000119.1	GCF_030063355.1	Clade 6	Lanthiphage	0.0				1	0.0	1	1	0	1	0	0	0
